ID,Nama Pelanggan,Tanggal Pembelian,Jumlah Pembelian
2101,Susan Sampson,01/02/2022,631
2102,Jessica Jones,07/08/2022,398
2103,Colleen Sampson,07/04/2022,798
2104,Michael Bishop,07/01/2022,472
2105,Andrea Rodriguez,06/03/2022,776
2106,Andrea Jones,18/02/2022,526
2107,Jessica Williams,04/10/2022,277
2108,Daniel Sampson,08/05/2022,284
2109,Andrea Allen,31/12/2022,302
2110,Andrea Johnson,03/11/2022,69
2111,Colleen Bishop,25/04/2022,400
2112,Jessica Brown,22/08/2022,760
2113,Anthony Brown,12/07/2022,833
2114,Jessica Sampson,26/06/2022,116
2115,Daniel Brown,03/04/2022,134
2116,Jordan Simpson,23/11/2022,797
2117,Sarah Sampson,25/11/2022,220
2118,Colleen Simpson,22/08/2022,713
2119,Jessica Simpson,10/07/2022,670
2120,Sarah Bishop,05/08/2022,629
2121,Jessica Smith,17/10/2022,951
2122,Sarah Simpson,11/02/2022,174
2123,Daniel Johnson,03/04/2022,201
2124,Daniel Allen,03/02/2022,285
2125,Jordan Rodriguez,07/09/2022,867
2126,Jordan Williams,23/12/2022,645
2127,Michael Allen,17/11/2022,284
2128,Jessica Jones,17/11/2022,187
2129,Michael Jones,29/12/2022,621
2130,Gregory Brown,05/04/2022,921
2131,Andrea Bishop,27/02/2022,996
2132,Jessica Smith,02/06/2022,755
2133,Gregory Simpson,21/02/2022,78
2134,Michael Rodriguez,01/10/2022,914
2135,Andrea Simpson,25/09/2022,580
2136,Susan Williams,03/02/2022,617
2137,Michael Sampson,26/12/2022,457
2138,Susan Williams,17/02/2022,278
2139,Michael Rodriguez,14/12/2022,629
2140,Michael Allen,28/03/2022,86
2141,Jessica Williams,08/07/2022,71
2142,Colleen Smith,19/01/2022,565
2143,Susan Jones,16/11/2022,663
2144,Jessica Rodriguez,03/04/2022,92
2145,Jordan Bishop,13/04/2022,421
2146,Jordan Brown,27/04/2022,954
2147,Gregory Johnson,22/08/2022,345
2148,Gregory Rodriguez,04/04/2022,952
2149,Sarah Allen,22/11/2022,153
2150,Anthony Brown,13/11/2022,246
2151,Anthony Bishop,24/11/2022,234
2152,Michael Johnson,16/10/2022,88
2153,Gregory Jones,15/02/2022,226
2154,Sarah Brown,15/03/2022,997
2155,Daniel Simpson,29/09/2022,282
2156,Sarah Simpson,11/05/2022,604
2157,Jordan Brown,11/04/2022,149
2158,Susan Brown,02/04/2022,94
2159,Michael Rodriguez,07/03/2022,62
2160,Gregory Brown,02/12/2022,260
2161,Anthony Allen,09/10/2022,795
2162,Daniel Rodriguez,19/12/2022,662
2163,Andrea Brown,29/06/2022,317
2164,Gregory Williams,06/03/2022,882
2165,Jordan Allen,02/08/2022,133
2166,Gregory Simpson,19/07/2022,661
2167,Colleen Allen,30/11/2022,809
2168,Jessica Smith,30/06/2022,220
2169,Colleen Rodriguez,20/12/2022,132
2170,Michael Bishop,02/08/2022,413
2171,Michael Johnson,26/04/2022,585
2172,Michael Jones,17/11/2022,86
2173,Anthony Rodriguez,25/12/2022,500
2174,Susan Allen,07/02/2022,114
2175,Michael Jones,02/12/2022,549
2176,Andrea Simpson,14/01/2022,950
2177,Daniel Rodriguez,15/04/2022,793
2178,Michael Smith,04/03/2022,401
2179,Sarah Williams,01/11/2022,560
2180,Jessica Allen,05/11/2022,629
2181,Susan Williams,11/01/2022,738
2182,Jordan Sampson,30/08/2022,204
2183,Andrea Bishop,16/12/2022,8
2184,Michael Jones,20/02/2022,728
2185,Sarah Jones,24/01/2022,172
2186,Jessica Jones,18/06/2022,318
2187,Daniel Brown,30/03/2022,320
2188,Susan Sampson,28/08/2022,191
2189,Anthony Sampson,10/09/2022,400
2190,Jordan Rodriguez,15/11/2022,580
2191,Michael Bishop,09/10/2022,714
2192,Colleen Williams,29/06/2022,94
2193,Sarah Rodriguez,26/01/2022,391
2194,Daniel Smith,14/07/2022,92
2195,Michael Williams,17/09/2022,931
2196,Colleen Johnson,24/02/2022,508
2197,Colleen Sampson,02/09/2022,151
2198,Susan Smith,18/02/2022,559
2199,Susan Bishop,30/01/2022,283
2200,Colleen Jones,25/03/2022,902
2201,Andrea Johnson,15/06/2022,110
2202,Anthony Simpson,06/01/2022,354
2203,Jessica Rodriguez,01/06/2022,423
2204,Colleen Simpson,06/03/2022,784
2205,Gregory Jones,20/09/2022,977
2206,Susan Simpson,10/11/2022,438
2207,Sarah Rodriguez,16/02/2022,25
2208,Michael Jones,31/10/2022,157
2209,Colleen Bishop,27/01/2022,598
2210,Jordan Johnson,25/11/2022,303
2211,Daniel Brown,15/11/2022,76
2212,Susan Simpson,19/11/2022,794
2213,Michael Sampson,19/07/2022,470
2214,Michael Brown,27/04/2022,762
2215,Andrea Williams,10/07/2022,239
2216,Gregory Simpson,10/06/2022,759
2217,Sarah Jones,02/06/2022,139
2218,Daniel Sampson,07/03/2022,889
2219,Colleen Brown,09/08/2022,980
2220,Michael Johnson,22/12/2022,578
2221,Andrea Simpson,03/09/2022,301
2222,Sarah Williams,15/11/2022,160
2223,Michael Simpson,19/12/2022,702
2224,Michael Jones,25/10/2022,17
2225,Susan Bishop,06/10/2022,358
2226,Jessica Allen,26/11/2022,271
2227,Jordan Bishop,24/02/2022,533
2228,Andrea Brown,30/09/2022,563
2229,Anthony Jones,05/02/2022,776
2230,Susan Sampson,16/09/2022,240
2231,Jessica Smith,10/10/2022,51
2232,Jordan Johnson,17/02/2022,262
2233,Anthony Bishop,15/08/2022,98
2234,Jessica Simpson,02/09/2022,302
2235,Michael Simpson,10/06/2022,984
2236,Sarah Simpson,12/03/2022,568
2237,Gregory Rodriguez,25/05/2022,194
2238,Daniel Sampson,18/09/2022,625
2239,Michael Johnson,17/10/2022,226
2240,Anthony Smith,11/01/2022,455
2241,Michael Rodriguez,30/09/2022,431
2242,Anthony Williams,25/02/2022,945
2243,Jordan Rodriguez,25/04/2022,950
2244,Michael Jones,12/01/2022,605
2245,Jessica Simpson,01/02/2022,663
2246,Michael Allen,15/01/2022,117
2247,Colleen Williams,24/09/2022,935
2248,Colleen Sampson,01/06/2022,256
2249,Anthony Jones,10/02/2022,154
2250,Gregory Allen,17/09/2022,237
2251,Andrea Williams,21/05/2022,243
2252,Susan Brown,06/02/2022,125
2253,Michael Simpson,06/02/2022,925
2254,Andrea Smith,30/11/2022,976
2255,Daniel Simpson,23/12/2022,939
2256,Jessica Bishop,12/03/2022,326
2257,Michael Williams,11/02/2022,25
2258,Gregory Simpson,28/02/2022,627
2259,Jordan Sampson,09/11/2022,380
2260,Sarah Williams,22/12/2022,265
2261,Jordan Jones,06/06/2022,114
2262,Anthony Smith,26/10/2022,196
2263,Jessica Brown,06/11/2022,639
2264,Susan Rodriguez,21/01/2022,794
2265,Michael Williams,05/02/2022,864
2266,Susan Johnson,10/06/2022,560
2267,Sarah Simpson,03/04/2022,397
2268,Anthony Rodriguez,19/11/2022,484
2269,Gregory Simpson,11/11/2022,20
2270,Gregory Johnson,02/01/2022,858
2271,Jordan Allen,09/10/2022,241
2272,Sarah Rodriguez,22/08/2022,987
2273,Michael Brown,05/10/2022,426
2274,Daniel Brown,02/05/2022,440
2275,Jessica Smith,16/11/2022,689
2276,Jessica Williams,07/05/2022,409
2277,Gregory Simpson,22/05/2022,250
2278,Andrea Rodriguez,14/10/2022,131
2279,Colleen Rodriguez,26/08/2022,402
2280,Colleen Simpson,27/09/2022,752
2281,Anthony Williams,06/01/2022,954
2282,Daniel Simpson,20/12/2022,114
2283,Jordan Smith,10/07/2022,684
2284,Jessica Williams,15/09/2022,70
2285,Andrea Simpson,31/12/2022,535
2286,Jordan Williams,10/04/2022,648
2287,Sarah Smith,04/04/2022,566
2288,Sarah Allen,07/11/2022,258
2289,Susan Johnson,16/08/2022,916
2290,Daniel Williams,27/03/2022,283
2291,Jordan Brown,01/02/2022,603
2292,Sarah Bishop,07/01/2022,141
2293,Gregory Allen,15/10/2022,50
2294,Colleen Jones,29/07/2022,141
2295,Sarah Smith,28/04/2022,151
2296,Sarah Simpson,11/05/2022,903
2297,Anthony Johnson,18/08/2022,585
2298,Gregory Brown,28/02/2022,515
2299,Daniel Rodriguez,08/12/2022,183
2300,Andrea Bishop,12/10/2022,463
2301,Jessica Rodriguez,28/11/2022,905
2302,Andrea Jones,13/04/2022,908
2303,Anthony Smith,20/06/2022,599
2304,Andrea Rodriguez,21/08/2022,624
2305,Gregory Sampson,09/05/2022,737
2306,Andrea Smith,10/02/2022,736
2307,Susan Johnson,29/11/2022,790
2308,Susan Jones,29/08/2022,379
2309,Susan Jones,06/01/2022,795
2310,Susan Bishop,22/04/2022,691
2311,Susan Jones,16/03/2022,659
2312,Gregory Williams,12/03/2022,418
2313,Anthony Smith,22/12/2022,648
2314,Sarah Bishop,15/01/2022,620
2315,Susan Johnson,18/04/2022,351
2316,Anthony Allen,01/01/2022,949
2317,Sarah Jones,09/02/2022,686
2318,Michael Williams,04/05/2022,690
2319,Jordan Jones,11/06/2022,368
2320,Jessica Jones,07/10/2022,571
2321,Gregory Bishop,01/02/2022,48
2322,Jordan Smith,07/01/2022,386
2323,Gregory Jones,11/04/2022,667
2324,Sarah Bishop,18/02/2022,135
2325,Daniel Rodriguez,01/06/2022,639
2326,Gregory Smith,18/09/2022,154
2327,Jessica Allen,02/04/2022,410
2328,Daniel Allen,03/05/2022,832
2329,Jessica Bishop,26/07/2022,988
2330,Susan Johnson,16/12/2022,713
2331,Jordan Jones,24/04/2022,325
2332,Colleen Sampson,12/11/2022,561
2333,Jordan Brown,27/07/2022,75
2334,Jessica Sampson,12/09/2022,718
2335,Michael Johnson,16/06/2022,961
2336,Sarah Johnson,06/10/2022,878
2337,Michael Williams,18/09/2022,12
2338,Gregory Sampson,07/04/2022,747
2339,Sarah Brown,10/11/2022,926
2340,Susan Simpson,20/11/2022,931
2341,Andrea Johnson,24/11/2022,893
2342,Michael Sampson,12/07/2022,494
2343,Michael Simpson,25/05/2022,233
2344,Michael Johnson,22/02/2022,380
2345,Colleen Sampson,17/01/2022,159
2346,Sarah Bishop,01/01/2022,719
2347,Daniel Williams,29/06/2022,24
2348,Jordan Sampson,03/08/2022,626
2349,Daniel Brown,16/05/2022,530
2350,Daniel Simpson,31/07/2022,551
2351,Andrea Sampson,28/01/2022,386
2352,Daniel Jones,15/02/2022,191
2353,Gregory Johnson,13/08/2022,963
2354,Anthony Sampson,14/03/2022,769
2355,Anthony Sampson,12/10/2022,609
2356,Gregory Brown,13/04/2022,740
2357,Jessica Smith,29/01/2022,934
2358,Anthony Jones,19/09/2022,972
2359,Jordan Bishop,27/07/2022,56
2360,Sarah Simpson,05/02/2022,566
2361,Andrea Bishop,24/01/2022,83
2362,Michael Simpson,27/07/2022,747
2363,Michael Sampson,02/05/2022,801
2364,Colleen Allen,30/01/2022,24
2365,Michael Simpson,05/04/2022,750
2366,Jessica Allen,24/12/2022,723
2367,Jessica Simpson,13/04/2022,800
2368,Daniel Williams,30/11/2022,611
2369,Susan Brown,27/10/2022,59
2370,Susan Jones,12/12/2022,991
2371,Colleen Simpson,09/12/2022,444
2372,Jordan Allen,10/03/2022,755
2373,Anthony Williams,02/05/2022,743
2374,Jordan Simpson,25/11/2022,274
2375,Jessica Johnson,17/11/2022,537
2376,Susan Williams,11/03/2022,580
2377,Sarah Williams,29/12/2022,736
2378,Susan Jones,11/04/2022,251
2379,Jordan Johnson,27/06/2022,368
2380,Colleen Brown,30/01/2022,800
2381,Daniel Simpson,07/01/2022,950
2382,Andrea Brown,20/09/2022,68
2383,Sarah Jones,04/03/2022,833
2384,Andrea Bishop,22/07/2022,356
2385,Anthony Rodriguez,08/03/2022,34
2386,Anthony Williams,03/12/2022,723
2387,Anthony Smith,03/11/2022,130
2388,Susan Allen,01/03/2022,201
2389,Susan Williams,20/04/2022,667
2390,Gregory Jones,30/06/2022,352
2391,Jordan Williams,29/11/2022,514
2392,Susan Williams,26/09/2022,102
2393,Jessica Simpson,07/03/2022,739
2394,Michael Bishop,12/10/2022,542
2395,Daniel Bishop,13/08/2022,372
2396,Gregory Sampson,17/03/2022,146
2397,Sarah Jones,19/04/2022,992
2398,Colleen Brown,21/08/2022,861
2399,Colleen Simpson,17/08/2022,291
2400,Sarah Williams,13/11/2022,335
2401,Susan Allen,24/11/2022,847
2402,Jessica Jones,20/06/2022,815
2403,Jordan Williams,29/06/2022,587
2404,Daniel Sampson,18/03/2022,9
2405,Anthony Bishop,21/08/2022,408
2406,Gregory Bishop,02/09/2022,848
2407,Susan Sampson,27/07/2022,478
2408,Anthony Jones,30/03/2022,480
2409,Gregory Simpson,11/02/2022,12
2410,Gregory Brown,01/04/2022,372
2411,Andrea Bishop,30/10/2022,122
2412,Daniel Simpson,04/10/2022,278
2413,Susan Allen,19/12/2022,582
2414,Anthony Sampson,12/10/2022,977
2415,Jordan Brown,03/04/2022,484
2416,Sarah Johnson,13/07/2022,423
2417,Colleen Rodriguez,08/09/2022,475
2418,Susan Smith,07/05/2022,451
2419,Susan Sampson,25/03/2022,495
2420,Sarah Sampson,19/12/2022,876
2421,Colleen Williams,02/03/2022,841
2422,Michael Smith,25/03/2022,998
2423,Susan Bishop,05/10/2022,136
2424,Gregory Simpson,12/12/2022,877
2425,Jessica Jones,19/10/2022,657
2426,Andrea Williams,05/12/2022,543
2427,Jessica Brown,12/10/2022,613
2428,Michael Johnson,30/01/2022,363
2429,Jessica Bishop,21/12/2022,262
2430,Anthony Bishop,15/11/2022,401
2431,Gregory Jones,02/07/2022,722
2432,Anthony Johnson,09/05/2022,249
2433,Andrea Johnson,25/01/2022,570
2434,Daniel Rodriguez,25/06/2022,404
2435,Jordan Simpson,12/04/2022,149
2436,Daniel Johnson,18/03/2022,238
2437,Sarah Smith,27/05/2022,608
2438,Daniel Rodriguez,03/03/2022,60
2439,Gregory Williams,04/05/2022,693
2440,Gregory Rodriguez,14/02/2022,214
2441,Susan Johnson,01/01/2022,282
2442,Michael Jones,12/02/2022,738
2443,Jessica Rodriguez,29/06/2022,620
2444,Daniel Simpson,15/11/2022,47
2445,Jessica Allen,08/09/2022,896
2446,Colleen Jones,08/12/2022,486
2447,Susan Smith,24/12/2022,584
2448,Jordan Rodriguez,17/12/2022,196
2449,Susan Allen,01/05/2022,101
2450,Gregory Smith,23/02/2022,678
2451,Michael Johnson,07/01/2022,472
2452,Colleen Williams,08/12/2022,389
2453,Andrea Allen,15/09/2022,528
2454,Jordan Williams,18/08/2022,288
2455,Jessica Sampson,02/05/2022,655
2456,Michael Sampson,30/04/2022,663
2457,Sarah Simpson,11/06/2022,185
2458,Susan Simpson,17/08/2022,867
2459,Susan Smith,11/10/2022,734
2460,Anthony Simpson,24/02/2022,479
2461,Michael Jones,14/10/2022,885
2462,Sarah Sampson,30/06/2022,395
2463,Jordan Williams,22/04/2022,255
2464,Michael Smith,27/07/2022,484
2465,Jordan Johnson,05/08/2022,763
2466,Daniel Smith,05/07/2022,408
2467,Susan Bishop,11/05/2022,257
2468,Gregory Simpson,08/09/2022,962
2469,Gregory Simpson,05/07/2022,946
2470,Gregory Bishop,29/10/2022,172
2471,Andrea Sampson,05/08/2022,183
2472,Gregory Rodriguez,08/10/2022,855
2473,Sarah Allen,07/11/2022,622
2474,Daniel Simpson,21/04/2022,148
2475,Andrea Brown,17/07/2022,93
2476,Andrea Rodriguez,06/12/2022,856
2477,Jordan Smith,06/05/2022,249
2478,Anthony Sampson,25/05/2022,445
2479,Anthony Jones,29/09/2022,739
2480,Jessica Johnson,28/12/2022,391
2481,Andrea Jones,20/07/2022,278
2482,Colleen Smith,28/09/2022,131
2483,Sarah Rodriguez,14/01/2022,2
2484,Colleen Smith,31/05/2022,708
2485,Colleen Sampson,04/06/2022,643
2486,Anthony Johnson,11/09/2022,331
2487,Anthony Johnson,27/04/2022,353
2488,Daniel Allen,12/10/2022,828
2489,Daniel Rodriguez,24/11/2022,500
2490,Andrea Bishop,17/04/2022,785
2491,Colleen Brown,19/06/2022,593
2492,Sarah Jones,28/02/2022,568
2493,Michael Sampson,24/02/2022,717
2494,Anthony Johnson,03/09/2022,196
2495,Anthony Allen,09/09/2022,497
2496,Anthony Williams,14/03/2022,124
2497,Michael Allen,14/01/2022,653
2498,Anthony Simpson,07/09/2022,425
2499,Sarah Simpson,12/08/2022,453
2500,Jordan Johnson,03/10/2022,866
2501,Jordan Jones,19/04/2022,967
2502,Daniel Brown,26/04/2022,924
2503,Gregory Smith,27/10/2022,731
2504,Anthony Brown,23/08/2022,965
2505,Sarah Smith,28/11/2022,320
2506,Andrea Rodriguez,08/06/2022,525
2507,Daniel Williams,23/02/2022,500
2508,Andrea Allen,03/02/2022,661
2509,Michael Williams,24/10/2022,278
2510,Sarah Brown,12/02/2022,55
2511,Colleen Smith,07/06/2022,547
2512,Andrea Bishop,03/09/2022,780
2513,Sarah Johnson,25/03/2022,491
2514,Andrea Smith,17/12/2022,545
2515,Jessica Brown,02/07/2022,770
2516,Susan Simpson,04/02/2022,493
2517,Jordan Smith,31/08/2022,257
2518,Jordan Jones,10/03/2022,352
2519,Jordan Johnson,18/07/2022,893
2520,Sarah Jones,21/02/2022,708
2521,Colleen Rodriguez,20/08/2022,679
2522,Daniel Johnson,08/04/2022,805
2523,Andrea Brown,18/08/2022,525
2524,Sarah Jones,18/07/2022,307
2525,Jordan Jones,04/06/2022,860
2526,Michael Simpson,28/06/2022,63
2527,Daniel Sampson,18/02/2022,828
2528,Michael Bishop,15/02/2022,135
2529,Andrea Johnson,07/06/2022,443
2530,Michael Johnson,07/10/2022,276
2531,Gregory Simpson,30/08/2022,531
2532,Susan Rodriguez,04/06/2022,304
2533,Colleen Brown,07/06/2022,188
2534,Colleen Johnson,10/09/2022,636
2535,Colleen Brown,26/06/2022,687
2536,Jordan Rodriguez,24/07/2022,89
2537,Anthony Williams,10/11/2022,526
2538,Michael Smith,16/03/2022,782
2539,Jordan Rodriguez,06/08/2022,613
2540,Jessica Johnson,10/05/2022,971
2541,Daniel Sampson,18/04/2022,990
2542,Jessica Jones,09/02/2022,546
2543,Daniel Sampson,07/01/2022,850
2544,Gregory Rodriguez,30/09/2022,89
2545,Susan Bishop,08/09/2022,720
2546,Colleen Simpson,27/04/2022,545
2547,Andrea Jones,06/08/2022,707
2548,Colleen Jones,13/04/2022,296
2549,Andrea Simpson,16/10/2022,711
2550,Michael Allen,19/11/2022,802
2551,Colleen Bishop,13/07/2022,800
2552,Daniel Rodriguez,30/09/2022,86
2553,Jessica Bishop,11/02/2022,6
2554,Sarah Williams,10/09/2022,788
2555,Michael Rodriguez,26/01/2022,507
2556,Michael Brown,27/08/2022,414
2557,Colleen Rodriguez,22/08/2022,87
2558,Michael Brown,09/01/2022,455
2559,Jordan Rodriguez,05/11/2022,882
2560,Susan Allen,29/05/2022,870
2561,Susan Sampson,06/04/2022,44
2562,Michael Sampson,31/12/2022,789
2563,Jessica Simpson,27/05/2022,522
2564,Michael Allen,19/11/2022,294
2565,Jordan Brown,28/02/2022,828
2566,Daniel Smith,26/02/2022,200
2567,Sarah Williams,15/03/2022,79
2568,Susan Simpson,01/03/2022,839
2569,Jordan Allen,22/04/2022,597
2570,Michael Jones,21/11/2022,925
2571,Michael Williams,19/08/2022,723
2572,Anthony Brown,15/02/2022,157
2573,Jordan Brown,12/10/2022,698
2574,Gregory Williams,18/05/2022,573
2575,Gregory Brown,01/01/2022,85
2576,Andrea Allen,12/08/2022,181
2577,Daniel Williams,17/12/2022,470
2578,Susan Jones,28/04/2022,42
2579,Colleen Williams,23/03/2022,454
2580,Anthony Rodriguez,05/01/2022,800
2581,Jessica Johnson,20/02/2022,751
2582,Colleen Sampson,14/01/2022,893
2583,Jessica Sampson,05/08/2022,644
2584,Jessica Williams,14/01/2022,715
2585,Gregory Bishop,18/07/2022,17
2586,Sarah Jones,13/03/2022,656
2587,Daniel Johnson,30/12/2022,131
2588,Jessica Rodriguez,02/11/2022,152
2589,Daniel Smith,16/06/2022,646
2590,Daniel Bishop,25/03/2022,772
2591,Jessica Sampson,13/02/2022,981
2592,Jordan Rodriguez,15/01/2022,79
2593,Anthony Allen,06/09/2022,484
2594,Andrea Sampson,11/01/2022,496
2595,Andrea Brown,05/03/2022,887
2596,Jessica Allen,17/08/2022,382
2597,Colleen Jones,09/11/2022,434
2598,Daniel Bishop,22/08/2022,720
2599,Anthony Johnson,18/08/2022,946
2600,Gregory Smith,31/01/2022,304
2601,Sarah Sampson,05/12/2022,459
2602,Susan Smith,08/02/2022,546
2603,Jessica Simpson,30/08/2022,521
2604,Sarah Sampson,15/07/2022,514
2605,Jessica Jones,26/06/2022,744
2606,Daniel Brown,18/12/2022,294
2607,Susan Brown,25/08/2022,751
2608,Sarah Rodriguez,12/12/2022,81
2609,Michael Jones,28/10/2022,321
2610,Michael Williams,28/11/2022,48
2611,Jordan Smith,01/07/2022,468
2612,Colleen Brown,31/10/2022,137
2613,Michael Smith,27/10/2022,665
2614,Anthony Rodriguez,24/10/2022,568
2615,Michael Sampson,27/01/2022,37
2616,Susan Brown,05/09/2022,113
2617,Anthony Bishop,06/07/2022,859
2618,Jordan Bishop,05/12/2022,794
2619,Colleen Rodriguez,17/10/2022,984
2620,Daniel Smith,30/04/2022,302
2621,Sarah Smith,26/03/2022,294
2622,Michael Williams,01/01/2022,899
2623,Andrea Brown,29/07/2022,362
2624,Andrea Jones,04/12/2022,69
2625,Susan Sampson,07/12/2022,75
2626,Susan Brown,12/05/2022,113
2627,Michael Bishop,28/05/2022,166
2628,Andrea Allen,14/03/2022,659
2629,Jessica Brown,22/09/2022,32
2630,Daniel Brown,11/02/2022,497
2631,Daniel Simpson,24/05/2022,220
2632,Sarah Rodriguez,02/03/2022,135
2633,Daniel Bishop,15/01/2022,263
2634,Jessica Brown,18/03/2022,53
2635,Gregory Johnson,05/09/2022,229
2636,Sarah Johnson,16/03/2022,404
2637,Jessica Williams,10/07/2022,200
2638,Colleen Bishop,18/05/2022,879
2639,Sarah Brown,12/07/2022,2
2640,Anthony Rodriguez,05/01/2022,915
2641,Gregory Rodriguez,10/12/2022,490
2642,Daniel Smith,18/03/2022,106
2643,Jessica Simpson,19/01/2022,110
2644,Anthony Smith,30/04/2022,554
2645,Sarah Rodriguez,08/01/2022,424
2646,Michael Brown,09/10/2022,721
2647,Susan Simpson,31/01/2022,843
2648,Sarah Jones,19/12/2022,568
2649,Gregory Jones,15/06/2022,644
2650,Colleen Bishop,14/07/2022,622
2651,Susan Simpson,12/01/2022,189
2652,Michael Simpson,12/02/2022,713
2653,Andrea Allen,16/02/2022,79
2654,Jordan Bishop,26/08/2022,688
2655,Jessica Brown,09/06/2022,92
2656,Jessica Jones,25/10/2022,670
2657,Gregory Smith,16/01/2022,146
2658,Sarah Bishop,18/05/2022,318
2659,Sarah Bishop,13/01/2022,319
2660,Susan Jones,03/09/2022,494
2661,Andrea Brown,27/12/2022,755
2662,Jessica Jones,16/11/2022,372
2663,Jordan Johnson,13/09/2022,393
2664,Jessica Rodriguez,26/07/2022,569
2665,Jordan Allen,01/12/2022,969
2666,Sarah Johnson,10/04/2022,174
2667,Daniel Simpson,12/10/2022,865
2668,Jessica Rodriguez,06/05/2022,886
2669,Colleen Brown,17/08/2022,292
2670,Colleen Allen,18/06/2022,68
2671,Jordan Jones,20/07/2022,842
2672,Daniel Allen,15/06/2022,769
2673,Jessica Smith,19/07/2022,410
2674,Colleen Simpson,02/11/2022,408
2675,Colleen Johnson,23/09/2022,146
2676,Gregory Jones,27/09/2022,839
2677,Sarah Bishop,06/06/2022,389
2678,Michael Williams,15/02/2022,843
2679,Jessica Williams,29/03/2022,254
2680,Daniel Simpson,16/01/2022,136
2681,Michael Sampson,22/10/2022,849
2682,Jessica Rodriguez,22/04/2022,372
2683,Anthony Jones,06/05/2022,425
2684,Jessica Simpson,30/10/2022,305
2685,Anthony Johnson,03/09/2022,417
2686,Jordan Rodriguez,23/09/2022,948
2687,Jessica Allen,25/07/2022,402
2688,Susan Bishop,25/01/2022,334
2689,Andrea Rodriguez,10/08/2022,817
2690,Daniel Rodriguez,14/11/2022,997
2691,Andrea Brown,19/02/2022,838
2692,Colleen Sampson,26/12/2022,689
2693,Susan Simpson,20/01/2022,479
2694,Colleen Simpson,14/06/2022,298
2695,Michael Williams,30/09/2022,391
2696,Michael Sampson,13/07/2022,996
2697,Jordan Sampson,30/12/2022,500
2698,Anthony Johnson,24/05/2022,237
2699,Michael Brown,30/06/2022,577
2700,Jordan Jones,26/09/2022,312
2701,Daniel Allen,18/07/2022,479
2702,Colleen Rodriguez,26/11/2022,604
2703,Andrea Simpson,30/08/2022,894
2704,Jordan Smith,14/05/2022,27
2705,Michael Rodriguez,22/02/2022,344
2706,Jessica Johnson,05/10/2022,350
2707,Susan Johnson,03/01/2022,477
2708,Susan Smith,25/06/2022,6
2709,Andrea Rodriguez,09/12/2022,332
2710,Colleen Smith,07/11/2022,805
2711,Colleen Johnson,12/05/2022,554
2712,Anthony Johnson,23/12/2022,576
2713,Susan Smith,21/10/2022,448
2714,Sarah Bishop,26/03/2022,525
2715,Jordan Rodriguez,03/10/2022,535
2716,Susan Williams,09/04/2022,317
2717,Gregory Smith,15/11/2022,89
2718,Susan Jones,19/04/2022,848
2719,Gregory Sampson,09/10/2022,370
2720,Andrea Williams,17/10/2022,27
2721,Jordan Brown,27/06/2022,75
2722,Jessica Brown,05/04/2022,94
2723,Daniel Williams,09/01/2022,658
2724,Michael Allen,20/10/2022,901
2725,Michael Rodriguez,16/12/2022,783
2726,Jessica Simpson,26/12/2022,54
2727,Gregory Smith,20/08/2022,404
2728,Colleen Sampson,29/04/2022,728
2729,Daniel Brown,21/11/2022,738
2730,Jessica Rodriguez,22/06/2022,301
2731,Daniel Jones,31/07/2022,252
2732,Andrea Simpson,04/03/2022,173
2733,Michael Simpson,05/09/2022,878
2734,Anthony Williams,23/02/2022,970
2735,Jessica Simpson,07/02/2022,764
2736,Sarah Sampson,14/12/2022,261
2737,Gregory Smith,31/05/2022,716
2738,Jordan Bishop,08/07/2022,905
2739,Colleen Jones,23/04/2022,144
2740,Anthony Williams,01/08/2022,107
2741,Michael Rodriguez,12/06/2022,585
2742,Jessica Jones,18/08/2022,161
2743,Gregory Smith,07/10/2022,787
2744,Anthony Johnson,08/10/2022,471
2745,Colleen Rodriguez,23/08/2022,670
2746,Jessica Allen,31/07/2022,801
2747,Anthony Williams,31/03/2022,676
2748,Susan Johnson,22/07/2022,818
2749,Gregory Williams,17/11/2022,717
2750,Michael Simpson,16/02/2022,267
2751,Andrea Sampson,12/12/2022,615
2752,Anthony Allen,05/07/2022,298
2753,Jordan Johnson,11/10/2022,616
2754,Anthony Jones,01/09/2022,695
2755,Colleen Rodriguez,14/03/2022,876
2756,Michael Smith,06/06/2022,853
2757,Colleen Williams,30/09/2022,79
2758,Sarah Brown,26/05/2022,287
2759,Jordan Brown,11/01/2022,825
2760,Susan Sampson,27/07/2022,720
2761,Jessica Rodriguez,07/02/2022,584
2762,Jessica Sampson,15/01/2022,298
2763,Michael Johnson,02/01/2022,551
2764,Sarah Williams,15/07/2022,42
2765,Colleen Brown,07/06/2022,223
2766,Susan Brown,24/05/2022,635
2767,Jordan Jones,09/06/2022,900
2768,Michael Bishop,28/11/2022,768
2769,Gregory Johnson,23/12/2022,589
2770,Gregory Williams,04/07/2022,305
2771,Anthony Williams,05/06/2022,843
2772,Michael Jones,24/12/2022,117
2773,Colleen Allen,17/02/2022,936
2774,Sarah Williams,10/08/2022,510
2775,Jordan Brown,30/07/2022,90
2776,Jordan Sampson,18/05/2022,58
2777,Sarah Brown,20/06/2022,979
2778,Sarah Brown,14/08/2022,996
2779,Jordan Simpson,22/12/2022,759
2780,Andrea Rodriguez,06/03/2022,681
2781,Michael Williams,12/10/2022,758
